Biomarker | Interventions,Biomarker ID
5-Methyl-Tetrahydrofolate,5methyltetrahydrofolate
Urine Albumin/Creatine Ratio,albumincreatinineratio
Alpha Carotene,alphacarotene
Alpha Cryptoxanthin,alphacryptoxanthin
Alpha Tocopherol (Vitamin E),alphatocopherol
Alpha-1 acid,alpha1acid
Alanine Transaminase (ALT),alaninetransaminase
Apolipoprotein B (ApoB),apolipoproteinb
Beta-2-Microglobulin,beta2microglobulin
Bicarbonate,bicarbonate
Blood Cadmium,bloodcadmium
Blood Lead,bloodlead
Blood Manganese,bloodmanganese
Blood Urea Nitrogen (BUN),bloodureanitrogen
Blood Pressure - Pulse,bloodpressurepulse
Calcium,calcium
Chloride,chloride
Cis Beta Carotene,cisbetacarotene
Creatine Kinase (CK) (CPK),creatininephosphokinase
Creatine Kinase-MB,mbcreatinekinase
C Reactive Protein,creactiveprotein
Cystatin C,cystatinc
Diastolic Blood Pressure,diastolicbloodpressure
1-3 Dimethyluric Acid,dimethyluric1
DXA AAC,dxaaorticarterialcalcium
DXA BMC,dxabonemineralcontent
DXA BMD,dxabonemineraldensity
DXA Total Fat,dxatotalfat
DXA Visceral Fat,dxavisceralfat
Eosinophil %,eosinophipercent
Exhaled NO,exhalednitricoxide
ExtraResist,extracellularresist
FA Alpha-Linolenic,faalphalinolenic
FA Arachidic,faarachidic
FA Arachidonic,faarachidonic
FA Cis-Vaccinec,facisvaccinec
FA Docosahexaenoic,fadocosahexaenoic
FA Docosanoic,fadocosanoic
FA Docosapentaenoic,fadocosapentaenoic
FA Docosapentaenoic6,fadocosapentaenoic6
FA Docosatetraenoic,fadocosatetraenoic
FA Eicosadienoic,faeicosadienoic
FA Eicosapentaenoic,faeicosapentaenoic
FA Eicosatrienoic,faeicosatrienoic
FA Eicosenoic,faeicosenoic
FA Gamma-Linolenic,fagammalinolenic
FA HGamma-Linolenic,fahgammalinolenic
FA Lignoceric,falignoceric
FA Linoleic,falinoleic
FA Margaric,famargaric
FA Myristic,famyristic
FA Myristoleic,famyristoleic
FA Nervonic,fanervoic
FA Oleic,faoleic
FA Palmitic,fapalmitic
FA Palmitoleic,fapalmitoleic
FA Pentadecanoic,fapentadecanoic
FA Stearic,fastearic
FA Stearidonic,fastearidonic
FA Tricosanoic,fatricosanoic
Forced Expiratory Volume 1 sec (FEV1),forcedexpiratoryvolume1
Fibrinogen,fibrinogen
Folate - RBC,folaterbc
Forced Vital Capacity (FVC),forcedvitalcapacity
Gamma Tocopherol (Vitamin E),gammatocopherol
Gamma Glutamyl Transferase (GGT),gammaglutamyltransferase
Glycated Albumin (Glycated Protein),glycatedprotein
Glycohemoglobin A1c (hba1c),glycohemoglobina1c
Hematocrit,hematocrit
Hemoglobin,hemoglobin
Homocysteine,homocysteine
High Sensitivity C Reactive Protein (hsCRP),hscreactiveprotein
Unsaturated Iron Binding Capacity (UIBC),unsatironbindingcapacity
Klotho,klotho
Lactate Dehydrogenase (LDH),lactatedehydrogenase
LDL Cholesterol,ldlcholesterol
Lymphocyte %,lymphocytepercent
Lymphocyte Number,lymphocytenumber
